isin,currency,signal_creation_date,signal_value,signal_rank,is_in_port,open_price_at_trade_entry,open_price_at_trade_exit,asset_rt
CH0012221716,CHF,2026-06-09,5.94,1,1,82.7,79.64,-0.03700120918984283
CH0011075394,CHF,2026-06-09,1.88,2,1,548.6,557.6,0.01640539555231498
CH1499059983,CHF,2026-06-09,-0.48,3,0,320.0,319.8,-0.0006249999999999645
CH0244767585,CHF,2026-06-09,-1.52,4,0,38.01,37.92,-0.002367797947908348
CH0012005267,CHF,2026-06-09,-1.98,5,0,116.72,118.26,0.013193968471555914
CH0038863350,CHF,2026-06-09,-3.22,6,0,76.32,77.5,0.015461215932914137
CH0210483332,CHF,2026-06-09,-4.34,7,0,164.1,168.26,0.02535039609993904
DE0008404005,EUR,2026-06-09,11.24,1,1,373.0,379.4,0.01715817694369967
FR0000121972,EUR,2026-06-09,8.16,2,1,269.4,263.26,-0.02279138827023009
FR0000120628,EUR,2026-06-09,8.08,3,1,39.65,40.38,0.01841109709962179
DE0007236101,EUR,2026-06-09,4.58,4,1,266.96,263.56,-0.012735990410548313
FR0000131104,EUR,2026-06-09,3.98,5,1,93.02,93.42,0.004300150505267746
NL0011821202,EUR,2026-06-09,3.33,6,1,25.41,25.19,-0.008658008658008613
DE000ENER6Y0,EUR,2026-06-09,0.96,7,0,158.82,148.54,-0.06472736431179953
FR0000120271,EUR,2026-06-09,0.53,8,0,76.89,76.59,-0.0039016777214201737
FR0000121667,EUR,2026-06-09,-0.47,9,0,171.96,179.2,0.04210281460804827
FR0000073272,EUR,2026-06-09,-0.9,10,0,293.4,296.2,0.009543285616905288
ES0113900J37,EUR,2026-06-09,-1.69,11,0,10.798,10.568,-0.021300240785330656
DE0007164600,EUR,2026-06-09,-1.99,12,0,157.0,154.1,-0.018471337579617872
DE0005557508,EUR,2026-06-09,-2.1,13,0,27.68,27.89,0.00758670520231217
FR0000120578,EUR,2026-06-09,-2.44,14,0,76.05,77.4,0.01775147928994094
FR0000120321,EUR,2026-06-09,-2.54,15,0,376.66,385.86,0.024425211065682545
FR0000121014,EUR,2026-06-09,-4.57,16,0,480.0,496.3,0.033958333333333354
NL0010273215,EUR,2026-06-09,-5.13,17,0,1525.2,1526.2,0.0006556517178075007
NL0000235190,EUR,2026-06-09,-5.7,18,0,176.66,176.06,-0.003396354579418059
DE0008430026,EUR,2026-06-09,-6.44,19,0,449.0,458.8,0.021826280623608044
DE0007030009,EUR,2026-06-09,-7.9,20,0,1194.0,1211.0,0.01423785594639866
FR0000120073,EUR,2026-06-09,-7.96,21,0,165.34,167.98,0.015967098100882947
FR0000125486,EUR,2026-06-09,-8.77,22,0,123.56,123.3,-0.0021042408546455577
