creation_date,stock_name,isin,exchange_name,currency,signal
2026-06-12,NOVARTIS,CH0012005267,Six Swiss Exchange,CHF,-3.24
2026-06-12,ROCHE PS,CH1499059983,Six Swiss Exchange,CHF,-2.7
2026-06-12,NESTLE,CH0038863350,Six Swiss Exchange,CHF,-1.18
2026-06-12,ABB,CH0012221716,Six Swiss Exchange,CHF,2.92
2026-06-12,UBS GROUP,CH0244767585,Six Swiss Exchange,CHF,-0.09
2026-06-12,ZURICH INSURANCE GROUP,CH0011075394,Six Swiss Exchange,CHF,2.85
2026-06-12,CIE FINANCIERE RICHEMONT,CH0210483332,Six Swiss Exchange,CHF,
2026-06-12,ASML HLDG,NL0010273215,Euronext Amsterdam,EUR,-6.12
2026-06-12,TOTALENERGIES,FR0000120271,Euronext Paris,EUR,0.13
2026-06-12,SIEMENS,DE0007236101,XETRA,EUR,3.87
2026-06-12,SAP,DE0007164600,XETRA,EUR,-9.62
2026-06-12,BANCO SANTANDER,ES0113900J37,BME Exchange,EUR,-1.41
2026-06-12,ALLIANZ,DE0008404005,XETRA,EUR,-3.59
2026-06-12,SCHNEIDER ELECTRIC,FR0000121972,Euronext Paris,EUR,4.76
2026-06-12,LVMH MOET HENNESSY,FR0000121014,Euronext Paris,EUR,-4.37
2026-06-12,DEUTSCHE TELEKOM,DE0005557508,XETRA,EUR,-0.36
2026-06-12,SIEMENS ENERGY,DE000ENER6Y0,XETRA,EUR,
2026-06-12,SAFRAN,FR0000073272,Euronext Paris,EUR,-0.19
2026-06-12,AIR LIQUIDE,FR0000120073,Euronext Paris,EUR,-3.01
2026-06-12,AIRBUS,NL0000235190,Euronext Paris,EUR,-5.72
2026-06-12,SANOFI,FR0000120578,Euronext Paris,EUR,-2.94
2026-06-12,BNP PARIBAS,FR0000131104,Euronext Paris,EUR,7.18
2026-06-12,LOREAL,FR0000120321,Euronext Paris,EUR,-3.16
2026-06-12,VINCI,FR0000125486,Euronext Paris,EUR,-4.98
2026-06-12,MUENCHENER RUECK,DE0008430026,XETRA,EUR,1.34
2026-06-12,AXA,FR0000120628,Euronext Paris,EUR,-4.01
2026-06-12,RHEINMETALL,DE0007030009,XETRA,EUR,-5.25
2026-06-12,ING GRP,NL0011821202,Euronext Amsterdam,EUR,2.35
2026-06-12,ESSILORLUXOTTICA,FR0000121667,Euronext Paris,EUR,-4.08
